method,q,correct
TRM (deterministic),5.144220995134674e-05,False
TRM (deterministic),0.9994115829467773,True
TRM (deterministic),1.5689549400121905e-05,False
TRM (deterministic),9.610241977497935e-05,False
TRM (deterministic),0.00010229986219201237,False
TRM (deterministic),0.00021654405281879008,False
TRM (deterministic),0.0003569706459529698,False
TRM (deterministic),7.031184941297397e-05,False
TRM (deterministic),0.00024536947603337467,False
TRM (deterministic),0.998793363571167,True
TRM (deterministic),0.002251847181469202,False
TRM (deterministic),6.60521473037079e-05,False
TRM (deterministic),9.610241977497935e-05,False
TRM (deterministic),0.0001686527393758297,False
TRM (deterministic),4.832564081880264e-05,False
TRM (deterministic),2.1444948288262822e-05,False
TRM (deterministic),0.00013135180051904172,False
TRM (deterministic),0.000552778656128794,False
TRM (deterministic),4.2647468944778666e-05,False
TRM (deterministic),0.00023050670279189944,False
TRM (deterministic),0.0011695103021338582,False
TRM (deterministic),1.892514956125524e-05,False
TRM (deterministic),0.9996079802513123,True
TRM (deterministic),0.00014883848780300468,False
TRM (deterministic),7.484622619813308e-05,False
TRM (deterministic),3.535625000949949e-05,False
TRM (deterministic),0.9992678761482239,True
TRM (deterministic),2.586742994026281e-05,False
TRM (deterministic),3.321419353596866e-05,False
TRM (deterministic),0.0007321811863221228,False
TRM (deterministic),0.00010229986219201237,False
TRM (deterministic),3.321419353596866e-05,False
TRM (deterministic),0.000503335555549711,False
TRM (deterministic),0.00011591933434829116,False
TRM (deterministic),0.00011591933434829116,False
TRM (deterministic),2.586742994026281e-05,False
TRM (deterministic),0.00012339458044152707,False
TRM (deterministic),3.7636447814293206e-05,False
TRM (deterministic),0.0003569706459529698,False
TRM (deterministic),0.9995417594909668,True
TRM (deterministic),0.0010649627074599266,False
TRM (deterministic),2.2827996872365475e-05,False
TRM (deterministic),0.02517884224653244,False
TRM (deterministic),2.7535690605873242e-05,False
TRM (deterministic),8.939696272136644e-06,False
TRM (deterministic),6.205049430718645e-05,False
TRM (deterministic),1.221907587023452e-05,False
TRM (deterministic),1.3007129382458515e-05,False
TRM (deterministic),3.321419353596866e-05,False
TRM (deterministic),0.001987774157896638,False
TRM (deterministic),0.00033535013790242374,False
TRM (deterministic),0.999373733997345,True
TRM (deterministic),0.00010229986219201237,False
TRM (deterministic),0.999220609664917,True
TRM (deterministic),2.4300241420860402e-05,False
TRM (deterministic),3.535625000949949e-05,False
TRM (deterministic),0.00013135180051904172,False
TRM (deterministic),0.9994966983795166,True
TRM (deterministic),0.9992903470993042,True
TRM (deterministic),0.0005884087877348065,False
TRM (deterministic),0.999595582485199,True
TRM (deterministic),0.9995272159576416,True
TRM (deterministic),3.321419353596866e-05,False
TRM (deterministic),0.0011335690505802631,False
TRM (deterministic),0.00011591933434829116,False
TRM (deterministic),4.006369272246957e-05,False
TRM (deterministic),0.0002780309587251395,False
TRM (deterministic),0.0003569706459529698,False
TRM (deterministic),1.7778551409719512e-05,False
TRM (deterministic),2.1444948288262822e-05,False
TRM (deterministic),0.9989677667617798,True
TRM (deterministic),1.7778551409719512e-05,False
TRM (deterministic),2.014569145103451e-05,False
TRM (deterministic),7.9673009167891e-05,False
TRM (deterministic),0.0013250223128125072,False
TRM (deterministic),2.4300241420860402e-05,False
TRM (deterministic),0.9990890026092529,True
TRM (deterministic),1.3846004549122881e-05,False
TRM (deterministic),0.0007096704212017357,False
TRM (deterministic),1.7778551409719512e-05,False
TRM (deterministic),1.892514956125524e-05,False
TRM (deterministic),1.5689549400121905e-05,False
TRM (deterministic),2.586742994026281e-05,False
TRM (deterministic),4.539786823443137e-05,False
TRM (deterministic),5.144220995134674e-05,False
TRM (deterministic),0.00013982206291984767,False
TRM (deterministic),0.999555766582489,True
TRM (deterministic),3.7636447814293206e-05,False
TRM (deterministic),3.1201914680423215e-05,False
TRM (deterministic),0.007815888151526451,False
TRM (deterministic),1.5689549400121905e-05,False
TRM (deterministic),9.516251338936854e-06,False
TRM (deterministic),3.1201914680423215e-05,False
TRM (deterministic),5.771919859398622e-06,False
TRM (deterministic),0.000503335555549711,False
TRM (deterministic),7.484622619813308e-05,False
TRM (deterministic),7.9673009167891e-05,False
